solar_curr_mA,load_power_mW
1803.0998762696981,5382.707594559947
1812.9499221686274,5382.668098622917
1786.7499263957143,5382.62798124195
1727.1000251639634,5382.586449773702
1634.0998990926894,5382.542713924734
1509.5999697223306,5382.496027237355
1352.099934592843,5382.44560769105
1401.2999599799514,5382.396353223253
1551.1499077547342,5382.350648866964
1672.1000429242852,5382.307809862407
1760.6999608688056,5382.26706967803
1816.5499204769733,8923.097554703447
1835.1999460719526,8922.963591878244
1819.8999168816954,8922.82902488678
1768.0498422123492,5381.983285909684
1683.2500114105642,5381.940705487704
1565.8498159609737,5381.895342481191
1417.0000213198366,5381.846451613233
1367.8499090019614,5381.796395327896
1529.299916001037,5381.7501640183
1659.8998627159745,5381.7070267155395
1759.1999494470656,5381.666241780994
1825.399958761409,5381.627024906461
1854.0999735705557,5381.588487510651
1848.700048867613,5381.549821566854
1807.0999067276716,5381.510169267484
1730.249932734296,5381.468695312286
1620.2499682549387,5381.424614146345
1477.9000775888562,5381.37715916115
1330.499944742769,5381.326210633709
1501.399965491146,5381.279310997095
1643.0999676231297,5381.235768385476
1751.6998923383653,5381.1947985060515
1826.1998775415123,5381.155593361131
1867.7499610930681,5381.1173721920995
1875.5500786937773,5381.079335269944
1840.4499860480428,5381.04046602787
1771.3999841362238,5380.999959971134
1668.3498688507825,5380.9570114030175
1534.5499559771272,5380.910891634403
1370.1998977921903,5380.860876695992
1470.7499940413982,5380.813243640567
1620.2499682549387,5380.769152428037
1737.7999029122293,5380.727846019911
1830.9999722987416,5380.68874746093
1886.7000471800566,5380.650968179617
1888.9999773819,5380.613242818613
1864.7999968379738,5380.574943433003
1819.2999414168298,5380.5355652843145
1722.8999058716,5380.493902222685
1591.0499496385455,5380.449114186609
1431.6999295260757,5380.400549482661
1438.400067854673,5380.3521428015765
1598.999951966107,5380.307540976479
1728.7999799009413,5380.266014227828
1824.7000116389247,5380.226759303534
1886.0500131268054,5380.18895753589
1910.7997650280597,5380.151741662342
1901.3500423170628,5380.114301296152
1849.7499695513397,5380.075637633058
1765.5499686952683,5380.034978161669
1644.3499771412462,5379.99144609422
1493.4000500943512,5379.944336427866
1402.950001647696,5379.895082721638
1573.449990246445,5379.849868452592
1712.6000602729619,5379.807950810442
1819.050085032359,5379.76855498071
1891.4999964181334,5379.7308753304405
1925.6999075878414,5379.694005508387
1924.899988807738,5379.657116165911
1883.300137706101,5379.619240501588
1807.2999955620617,8918.707267835689
1696.8499403446913,8918.567768395711
1551.5999984927475,8918.422559483297
1376.049913233146,5379.316088255475
1542.349928058684,5379.270128155102
1692.0499911066145,5379.2277146642
1808.5999181494117,5379.188062306723
1888.0999414250257,5379.150293185117
1935.3500101715329,5379.113643128659
1945.6498557701707,5379.077236576653
1912.6999541185799,5379.040048680543
1845.5498502589762,5379.001269015379
1742.4501129426062,5378.960045689003
1605.349825695157,5378.915572981956
1437.150058336556,5378.867113906588
1507.700071670115,5378.820325851185
1667.2498895786705,5378.777317793654
1793.650008039549,5378.737304271884
1885.7998657040298,5378.699473732653
1940.3998157940805,5378.662936421385
1955.9499924071133,5378.626767028812
1939.999929163605,5378.590219126316
1882.2999845724553,5378.552303396835
1788.200024748221,5378.512157279331
1658.6498531978577,5378.468940706217
1498.6500900704414,5378.421932092429
1472.3998901899904,5378.3743007288385
1640.2000619564205,5378.330644851643
1777.500001480803,5378.290241783901
1880.3498824127018,5378.2522752419245
1946.1000920273366,5378.215866143894
1975.499908439815,5378.180153149507
1963.7499644886702,5378.144161178745
1916.5000412613153,5378.107049014658
1832.0999515708536,5378.067936324313
1710.2999845519662,5378.025936844085
1553.3000987488779,5377.9802164272805
1433.5500600282103,5377.93165769457
1613.2999735418707,5377.88735759672
1757.9999985173345,5377.846485651825
1870.5498951021584,5377.808280078374
1945.849944604561,5377.771858239499
1986.8000526912513,5377.736406201368
1986.4000205416235,5377.700944139931
1948.3998767100277,5377.664581077327
1871.3501049205663,5377.626391674069
1759.649894665927,5377.5855548203
1611.7999621201307,5377.541213866312
1433.8000619318339,5377.492654320307
1577.3999621160328,5377.447496793065
1732.549862936139,5377.40601502728
1856.0000171419233,5377.367457917565
1943.1498367339375,5377.330965330805
1989.149895962328,5377.295562207984
2001.0999287478628,5377.260441711454
1971.4998779818418,5377.2246192687335
1905.550016090274,5377.187233518641
1802.0499555859715,5377.147394642216
1662.6500291749835,5377.104251913362
1491.1498874425888,5377.057044629992
1539.2000204883516,8914.448786049212
1704.6499124262482,8914.309494550578
1837.5499348621815,8914.175420901263
1934.549945872277,5376.7675171137425
1995.2000002376735,5376.732248705537
2014.949859585613,5376.697447751398
1993.949990719557,5376.662148647019
1937.8999422769996,5376.625520830605
1846.999948611483,5376.586738472387
1712.5999147538098,5376.544770756014
1548.4500909224153,5376.498912677228
1501.1998766567558,5376.451934246399
1675.449893809855,5376.409084147941
1817.599986679852,5376.369601800766
1926.1499983258548,5376.332691064176
1993.1499264203012,5376.297367400839
2026.2999169062823,5376.262828722083
2018.0999126750978,5376.228095204479
1970.049925148487,5376.192222554042
1883.9498807210475,5376.154309113601
1762.1499137021601,5376.113508901263
1604.2999050114304,5376.068967625671
1459.8498819395902,5376.02100275737
1643.9499449916186,5375.977399614292
1795.7499949261546,5375.937392877611
1912.099978653714,5375.900142572634
1992.2999490518123,5375.864792125722
2034.2999778222295,5375.830436374685
2036.5999080240729,5375.796134595492
1996.7000116594136,5375.760886815755
1921.350049087778,5375.723852991022
1807.2999955620617,5375.684116050883
1657.8500799369067,5375.640837113545
1475.549943279475,5375.593237700992
1606.1498899944127,5375.5487322726385
1767.8498988971114,5375.50805782758
1893.9998699352145,5375.470372025793
1984.749978873879,5375.434836072905
2036.3999647088351,5375.400523479738
2047.9499653447422,5375.366484050006
2019.3999807816,5375.331767572831
1952.799939317629,5375.2954723981375
1846.5999164618554,5375.256660134759
1705.6999786291271,5375.214508489804
1531.4000484067947,5375.168225960895
1567.0999709982425,5375.122788671558
1738.0499048158529,5375.081401538655
1873.6500351224095,5375.043226970321
1971.299934666604,5375.007365741725
2036.5499949548396,5374.973050137104
2059.699909295887,5374.9392825690275
2038.8999837450685,5374.905021604124
1982.9999655485153,5374.869435497918
1886.2501019611955,5374.831556246179
1753.5498773213478,5374.7905319286965
1587.300066603348,5374.745567501281
1526.1500084307045,5374.699153362372
1705.449976725504,5374.65698722841
1850.9998335503042,5374.618269417111
1961.8499209173026,5374.582177730677
2033.5998851805928,8910.365045116452
2066.3999021053314,8910.239870691239
2058.44989977777,8910.114381045512
2010.749885812402,5374.319769031842
1922.99994523637,5374.282752164044
1799.3499932345005,5374.242804700209
1640.599948586896,5374.199094858405
1483.7499475106597,5374.151667604512
1670.800120336935,5374.108671989823
1826.3999663759025,5374.06936283092
1947.5498993415388,5374.032923854308
2027.949958574027,5373.9983894891675
2071.449998766184,5373.964885376553
2073.9500178024177,5373.931439989841
2034.249919233844,5373.897053349818
1960.3499094955625,5373.860915035949
1841.9499974697828,5373.821970545167
1690.1499475352468,5373.779428379817
1505.8000280987474,5373.732517178165
1632.6499462593347,5373.688611109563
1796.4000289794058,5373.648584611842
1925.0999321229758,5373.611607190481
2017.249935306609,5373.576812800603
2070.599875878543,5373.54328206384
2083.200088236481,5373.510049388136
2054.199867416173,5373.476129008165
1988.0500622093678,5373.440640611407
1878.8999295793476,5373.402565231752
1735.4999727103861,5373.36109124062
1557.2499250993133,5373.315392772954
1591.2999515421689,5373.2705004571635
1762.999891070649,5373.22967607795
1900.349889183417,5373.192105736641
2003.4499175380918,5373.156977890996
2067.2500249929726,5373.123361321927
2089.0499581582844,5373.090260810438
2070.9999080281705,5373.056732073467
2012.8500182181597,5373.021824892804
1915.2498862240466,5372.984604428587
1780.6499090511352,5372.9441938915415
1611.4000754896551,5372.899772164587
1547.8499699383974,5372.853843862143
1728.14994584769,5372.812187267947
1878.0499522108587,5372.77408208558
1989.149895962328,5372.738608957721
2062.19992833212,5372.704866288609
2094.4999414496124,5372.671888486474
2087.9998919554055,5372.6387561511565
2038.0498608574271,5372.604439683205
1948.8501129671934,5372.568008997417
1823.700004024431,5372.5286121763065
1662.0500537101182,5372.485384268716
1502.8998313937336,5372.438384449646
1693.0999117903411,5372.395890916551
1850.1500017009678,5372.357118211733
1970.6500461325052,5372.321200297216
2053.7999807856977,5372.287252163273
2096.850075758994,5372.254323628565
2099.150005960837,5372.22144908695
2059.849939541891,5372.187642779693
1981.1501260846856,8906.393005719548
1865.049998741597,8906.259829088824
1709.449861664325,8906.120536508493
1521.9999477267265,5371.899164914419
1653.200015425682,5371.855717614944
1818.249875213951,5371.816180692654
1948.1500203255564,5371.77972129494
2040.9999706316742,5371.745461522338
2093.899965984747,5371.712454748743
2105.2498777862643,5371.679716416611
2076.3000065926467,5371.6462915805605
2006.7498553544285,5371.611218159895
1897.4000704474747,5371.573553031356
1752.4999566376212,5371.532453749315
1572.3500109743327,5371.487084975809
1607.6499014161527,5371.4425519757315
1782.100007403642,5371.402152085632
1922.3499111831188,5371.365074956125
2024.8000510036948,5371.330424929623
2088.0000374745578,5371.297271966128
2109.6499403938656,5371.2646315118545
2090.9498562105,5371.231547435528
2030.6999795138836,5371.197035160406
1930.9998606331646,5371.1601598458465
1794.8998720385134,5371.120058918892
1623.4000213444233,5371.0758934896385
1565.1999274268746,5371.030348263024
1747.0499733462932,5370.989111480759
1895.2999380417168,5370.9513870167175
2006.7500008735806,5370.916302909117
2080.9000125154857,5370.8829753311475
2112.399961333722,5370.85039366775
2103.5998361185193,5370.8176029739925
2053.9999241009355,5370.783636448984
1962.2500985860827,5370.747495284159
1836.6999574936926,5370.708378508865
1670.7999748177829,5370.665329941606
1520.2999929897487,5370.6187144425285
1711.3499052356929,5370.5766253725915
1872.3998800851405,5370.538351918564
1988.2500055246055,5370.502823076963
2066.5999909397215,5370.469150281253
2106.8999194540083,5370.436431920321
2111.950016114861,5370.403832723717
2071.6499420814216,5370.370278069038
1992.249890463427,5370.334841422838
1871.150016086176,5370.296534631089
1715.5500245280564,5370.254540129834
1527.049898868427,5370.208078255957
1668.1000124663115,5370.164958010991
1833.349815569818,5370.125752885705
1964.1499966382983,5370.089646617103
2054.8500469885767,5370.055689034353
2106.0499420855194,5370.022944169107
2117.200056090951,5369.990463014599
2085.0999862886965,5369.957220712249
2016.39995793812,5369.922349972407
1903.2499403692784,5369.884797476605
1755.05003426224,5369.843732636315
1573.5998749732971,5369.798367494639
1622.099953237921,8902.417641399124
